name;quadrant;ring;isNew;description
Administrative Units;HYBRID DATACENTER;1;FALSE;Container of resources that can be used for delegating administrative permissions 
Advanced Threat Analytics (ATA);HYBRID DATACENTER;3;FALSE;
API Apps;APPLICATION DEVELOPMENT;1;FALSE;Easily build and consume Cloud APIs
API Management;APPLICATION DEVELOPMENT;1;FALSE;Publish APIs to developers, partners, and employees securely and at scale
App Service;APPLICATION DEVELOPMENT;1;FALSE;Quickly create powerful cloud apps for web and mobile
Application Gateway;HYBRID DATACENTER;3;FALSE;Build secure, scalable, and highly available web front ends in Azure
Archive Storage;HYBRID DATACENTER;4;FALSE;Industry leading price point for storing rarely accessed data
Automation;HYBRID DATACENTER;2;FALSE;Simplify cloud management with process automation
AutoPilot;HYBRID DATACENTER;3;FALSE;
Avere vFXT for Azure;HYBRID DATACENTER;4;FALSE;Run high-performance, file-based workloads in the cloud
Azure Active Directory;HYBRID DATACENTER;1;FALSE;Synchronize on-premises directories and enable single sign-on
Azure Active Directory B2B;HYBRID DATACENTER;1;FALSE;
Azure Active Directory B2C;HYBRID DATACENTER;1;FALSE;Consumer identity and access management in the cloud
Azure Active Directory Domain Services;HYBRID DATACENTER;1;FALSE;Join Azure virtual machines to a domain without domain controllers
Azure AD Application Proxy;HYBRID DATACENTER;1;FALSE;
Azure AD Connect Health;HYBRID DATACENTER;1;FALSE;
Azure Advanced Threat Protection (ATP);HYBRID DATACENTER;3;FALSE;
Azure Advisor;HYBRID DATACENTER;1;FALSE;Your personalized Azure best practices recommendation engine
Azure Analysis Services;DATA INSIGHTS;1;FALSE;Enterprise-grade analytics engine as a service
Azure Artifacts;APPLICATION DEVELOPMENT;3;FALSE;Create, host, and share packages with your team
Azure Backup;HYBRID DATACENTER;1;FALSE;Simplify data protection and protect against ransomware
Azure Batch AI;DATA INSIGHTS;2;FALSE;Easily experiment and train your deep learning and AI models in parallel at scale
Azure Blueprints;HYBRID DATACENTER;3;FALSE;Enabling quick, repeatable creation of governed environments
Azure Boards;APPLICATION DEVELOPMENT;3;FALSE;Plan, track, and discuss work across your teams
Azure Bot Service;DATA INSIGHTS;1;FALSE;Intelligent, serverless bot service that scales on demand
